# Sky surface brightness: 19.15Exposure time: 60.0
# Airmass: 2.0
# Seeing: 0.8
#                   APF                              Keck              
#     -------------------------------- --------------------------------
#  Mg           SNRp           SNRt  S           SNRp           SNRt  S
 22.0  5.8980429e-02  9.3339792e-01  0  6.6446792e-01  1.0088828e+01  0
 21.5  9.3443470e-02  1.4789158e+00  0  1.0487266e+00  1.5942077e+01  0
 21.0  1.4801211e-01  2.3428691e+00  0  1.6512830e+00  2.5148196e+01  0
 20.5  2.3436831e-01  3.7105531e+00  0  2.5905617e+00  3.9565387e+01  0
 20.0  3.7091043e-01  5.8742071e+00  0  4.0416301e+00  6.1994265e+01  0
 19.5  5.8650879e-01  9.2934263e+00  0  6.2537805e+00  9.6540502e+01  0
 19.0  9.2620602e-01  1.4687765e+01  0  9.5630659e+00  1.4897836e+02  0
 18.5  1.4596446e+00  2.3175861e+01  0  1.4389123e+01  2.2695488e+02  0
 18.0  2.2929983e+00  3.6477702e+01  0  2.1206937e+01  3.3979522e+02  0
 17.5  3.5846636e+00  5.7193047e+01  0  3.0500214e+01  4.9776307e+02  0
 17.0  5.5632958e+00  8.9149763e+01  0  4.2730316e+01  7.1106315e+02  0
 16.5  8.5432836e+00  1.3776628e+02  0  5.8362858e+01  9.8942792e+02  0
 16.0  1.2927982e+01  2.1028472e+02  0  7.7958219e+01  1.3430736e+03  0
 15.5  1.9189477e+01  3.1564517e+02  0  1.0228603e+02  1.7848661e+03  0
 15.0  2.7824521e+01  4.6382899e+02  0  1.3242184e+02  2.3327220e+03  1
