# Sky surface brightness: 22.15Exposure time: 60.0
# Airmass: 2.0
# Seeing: 0.8
#                   APF                              Keck              
#     -------------------------------- --------------------------------
#  Mg           SNRp           SNRt  S           SNRp           SNRt  S
 22.0  9.9304024e-02  1.3231126e+00  0  1.0865375e+00  1.3569564e+01  0
 21.5  1.5722315e-01  2.0957956e+00  0  1.7030752e+00  2.1390812e+01  0
 21.0  2.4877380e-01  3.3186134e+00  0  2.6535109e+00  3.3617984e+01  0
 20.5  3.9326129e-01  5.2521413e+00  0  4.0979545e+00  5.2589749e+01  0
 20.0  6.2074392e-01  8.3053317e+00  0  6.2495119e+00  8.1697091e+01  0
 19.5  9.7754872e-01  1.3116371e+01  0  9.3697897e+00  1.2563262e+02  0
 19.0  1.5339569e+00  2.0672357e+01  0  1.3748957e+01  1.9047114e+02  0
 18.5  2.3940312e+00  3.2479046e+01  0  1.9677324e+01  2.8340421e+02  0
 18.0  3.7063085e+00  5.0784804e+01  0  2.7431512e+01  4.1209070e+02  0
 17.5  5.6717081e+00  7.8839619e+01  0  3.7298536e+01  5.8397180e+02  0
 17.0  8.5422910e+00  1.2112074e+02  0  4.9635591e+01  8.0623585e+02  0
 16.5  1.2604976e+01  1.8338787e+02  0  6.4938600e+01  1.0868520e+03  0
 16.0  1.8153481e+01  2.7240521e+02  0  8.3897408e+01  1.4363112e+03  0
 15.5  2.5468273e+01  3.9531567e+02  0  1.0743750e+02  1.8693223e+03  0
 15.0  3.4830455e+01  5.5902578e+02  0  1.3676126e+02  2.4060929e+03  1
